Индекс;Станция (RU);Страна;Широта;Долгота;H над ур.моря, м;Станция (EN)
FOOH;;Габон;-1,58;9,26;10;Omboue/Hopital
FOOK;Макоку;Габон;0,58;12,91;526;Makokou
FOOL;Либревилль;Габон;0,45;9,41;11;Libreville
FOOM;Митзик;Габон;0,78;11,55;583;Mitzic
FOON;Франсвилле-Мвенге;Габон;-1,65;13,43;441;Franceville-Mvengue
FOOR;Ластурсвилле;Габон;-0,83;12,75;483;Lastoursville
FOOS;;Габон;-2,53;9,76;3;Sette-Cama
FOOT;Чибанга;Габон;-2,88;10,95;81;Tchibanga
FOOY;Маюмба;Габон;-3,45;10,68;3;Mayumba
FOXX;;Габон;-2,33;11,77;206;Lekindou
FPPR;Принсипи;Сан-Томе и Принсипи;1,65;7,41;5;Principe
FPST;Сан-Томе;Сан-Томе и Принсипи;0,37;6,71;10;S. Tome
FQAG;Ангоше;Мозамбик;-16,21;39,90;61;Angoche
FQBR;Бейра;Мозамбик;-19,79;34,89;10;Beira
FQCB;Квамба;Мозамбик;-14,81;36,53;585;Cuamba
FQCH;Шимойо;Мозамбик;-19,14;33,42;697;Chimoio
FQIN;Иньямбане;Мозамбик;-23,86;35,41;9;Inhambane
FQLC;Лишинга;Мозамбик;-13,28;35,25;1368;Lichinga
FQLU;Лумбо;Мозамбик;-15,03;40,66;10;Lumbo
FQMA;Мапуту;Мозамбик;-25,93;32,57;43;Maputo / Mavalane
FQMP;Мосимбоа-да-Прая;Мозамбик;-11,35;40,34;27;Mocimboa Da Praia
FQMR;Маррупа;Мозамбик;-13,22;37,55;755;Marrupa
FQNC;;Мозамбик;-14,48;40,71;124;Nacala
FQNP;Нампула;Мозамбик;-15,10;39,28;440;Nampula
FQPB;Пемба;Мозамбик;-12,98;40,51;100;Pemba
FQQL;Келимане;Мозамбик;-17,85;36,86;10;Quelimane
FQTE;Тете;Мозамбик;-16,18;33,58;150;Tete
FQTT;Тете-Шингози;Мозамбик;-16,10;33,63;160;Tete Chingozi
FQUG;;Мозамбик;-14,69;34,35;1299;Ulongwe
FQVL;Виланкулос;Мозамбик;-22,00;35,31;21;Vilanculos
FQXA;Шаи-Шаи;Мозамбик;-25,05;33,63;5;Xai Xai
FSIA;Сейшеллс;Сейшельские Острова;-4,67;55,52;3;Seychelles Inter-National Airport
FSSS;Сейшеллс;Сейшельские Острова;-4,66;55,53;4;Seychelles International Airport Rawinsonde Statio
FTTA;Сарх;Чад;9,15;18,37;364;Sarh
FTTB;;Чад;10,28;15,38;327;Bongor
FTTC;Абеше;Чад;13,84;20,84;544;Abeche
FTTD;Мунду;Чад;8,62;16,06;429;Moundou
FTTE;;Чад;14,51;20,89;512;Biltine
FTTF;Фада;Чад;17,18;21,51;562;Fada
FTTG;Гоз-Бида;Чад;12,19;21,46;537;Goz-Beida
FTTH;;Чад;9,39;16,29;356;Lai
FTTI;Ати;Чад;13,23;18,31;331;Ati
FTTJ;Нджамена;Чад;12,12;15,02;295;Ndjamena
FTTK;Бокоро;Чад;12,38;17,06;299;Bokoro
FTTL;Бол-Берим;Чад;13,44;14,73;291;Bol-Berim
FTTM;Монго;Чад;12,16;18,68;430;Mongo
FTTN;Ам-Тиман;Чад;11,03;20,28;433;Am-Timan
FTTP;Пала;Чад;9,38;14,93;466;Pala
FTTR;;Чад;20,45;16,58;808;Zouar
FTTS;Буссо;Чад;10,48;16,71;334;Bousso
FTTU;Мао;Чад;14,13;15,31;327;Mao
FTTY;Файя;Чад;17,91;19,10;235;Faya
FTTZ;;Чад;21,45;17,04;1074;Bardai/Zougra
FVBB;Байтбридж;Зимбабве;-22,21;30,00;457;Beitbridge
FVBI;Бинга;Зимбабве;-17,61;27,33;617;Binga
FVBU;Булавайо;Зимбабве;-20,01;28,62;1330;Bulawayo Airport
FVCH;Чипинге;Зимбабве;-20,20;32,61;1132;Chipinge
FVCZ;Буффало-Рэйндж;Зимбабве;-21,00;31,57;433;Buffalo Range
FVFA;Виктория-Фоллс;Зимбабве;-18,09;25,84;1063;Victoria Falls
FVGO;Гокве;Зимбабве;-18,21;28,93;1282;Gokwe
FVHA;Хараре;Зимбабве;-17,93;31,09;1493;Harare Kutsaga
FVKA;Карои;Зимбабве;-16,83;29,61;1344;Karoi
FVKB;Кариба;Зимбабве;-16,51;28,88;519;Kariba
FVKK;Квекве;Зимбабве;-18,93;29,83;1213;Kwekwe
FVMT;Мутоко;Зимбабве;-17,41;32,21;1244;Mutoko
FVMV;Масвинго;Зимбабве;-20,06;30,86;1096;Masvingo
FVRU;Русапе;Зимбабве;-18,53;32,13;1430;Rusape
FVSH;Звишаване;Зимбабве;-20,28;30,08;918;Zvishavane
FVTL;Гверу;Зимбабве;-19,45;29,85;1428;Gweru
FVWN;Хванге;Зимбабве;-18,63;27,00;1079;Hwange National Park
FWCL;Чилека;Малави;-15,67;34,96;778;Chileka
FWCT;Читипа;Малави;-9,70;33,26;1278;Chitipa
FWDZ;Дедза;Малави;-14,31;34,26;1632;Dedza
FWKA;Каронга;Малави;-9,95;33,88;529;Karonga
FWKI;Лилонгве-Инт.;Малави;-13,78;33,77;1228;Lilongwe International Airport
FWKK;Нкота-Кота;Малави;-12,91;34,26;500;Nkhota Kota
FWLI;Лилонгве;Малави;-13,78;33,78;1230;Lilongwe
FWMG;Мангочи;Малави;-14,43;35,25;485;Mangochi
FWMY;Манки-Бей;Малави;-14,08;34,91;474;Monkey Bay
FWMZ;Мзимба;Малави;-11,88;33,61;1351;Mzimba
FWSM;Салима;Малави;-13,75;34,58;513;Salima
FWUU;Мзузу;Малави;-11,45;34,01;1253;Mzuzu
FXMK;Мохотлонг;Лесото;-29,26;29,13;2200;Mokhotlong
FXMM;;Лесото;-29,44;27,55;1630;Maseru/Moshoeshoe
FXMU;Масеру;Лесото;-29,30;27,50;1556;Maseru/Mejametalana
FYAR;;Намибия;-22,46;14,98;580;Arandis
FYEN;;Намибия;-17,48;16,32;1116;Eenhana
FYGF;Хрутфонтейн;Намибия;-19,60;18,12;1413;Grootfontein
FYKM;;Намибия;-17,63;24,17;985;Katima Mulino
FYKT;Китмансхуп;Намибия;-26,53;18,11;1068;Keetmanshoop
FYLZ;Людериц;Намибия;-26,68;15,24;139;Luderitz
FYML;;Намибия;-24,60;17,92;1112;Mariental
FYOA;Ондангва;Намибия;-17,87;15,94;1096;Ondangwa
FYOG;;Намибия;-28,58;16,44;4;Oranjemund
FYRC;;Намибия;-17,42;14,37;1148;Ruacana
FYRP;;Намибия;-27,96;16,75;388;Rosh Pinah
FYRU;Рунду;Намибия;-17,95;19,72;1105;Rundu
FYSA;;Намибия;-27,87;16,64;569;Skorpion Mine
FYTM;;Намибия;-19,26;17,73;1327;Tsumeb
FYWB;Уолфиш-Бей;Намибия;-22,97;14,64;91;Walvis Bay
FYWE;Виндхук/Эрос;Намибия;-22,60;17,07;1699;Windhoek/Eros
FYWH;Виндхук/Хосеа-Кутако;Намибия;-22,47;17,47;1719;Windhoek/Hosea Kutako
FZAA;Киншаса / Нджили;Демократическая Республика Конго;-4,38;15,44;304;Kinshasa / N'Djili
FZAB;Киншаса / Ндоло;Демократическая Республика Конго;-4,31;15,31;278;Kinshasa-Ndolo
FZAG;Моанда;Демократическая Республика Конго;-5,93;12,35;27;Moanda
FZAI;;Демократическая Республика Конго;-5,91;12,44;120;Kitona Base
FZAJ;Бома;Демократическая Республика Конго;-5,85;13,10;22;Boma
FZAL;Луози;Демократическая Республика Конго;-4,94;14,13;220;Luozi
FZAM;Матади;Демократическая Республика Конго;-5,80;13,43;340;Matadi
FZAN;Инга;Демократическая Республика Конго;-5,51;13,58;225;Inga
FZAW;;Демократическая Республика Конго;-5,50;14,69;395;Kwilu-Ngongo
FZBA;Инонго;Демократическая Республика Конго;-1,95;18,28;316;Inongo
FZBB;;Демократическая Республика Конго;-3,38;20,00;449;Bongimba
FZBC;;Демократическая Республика Конго;-0,73;18,13;399;Bikoro
FZBE;;Демократическая Республика Конго;-3,59;17,78;409;Beno
FZBI;;Демократическая Республика Конго;-2,71;17,68;317;Nioki
FZBJ;;Демократическая Республика Конго;-3,00;16,93;370;Mushie
FZBK;;Демократическая Республика Конго;-3,06;18,64;359;Bosobe/Boshwe
FZBL;;Демократическая Республика Конго;-3,04;17,10;370;Djokele
FZBO;Бандунду;Демократическая Республика Конго;-3,29;17,38;324;Bandundu
FZBP;;Демократическая Республика Конго;-2,79;19,90;353;Bolongonkele
FZBQ;;Демократическая Республика Конго;-3,38;19,65;366;Bindja
FZBS;;Демократическая Республика Конго;-3,18;18,08;349;Semendua
FZBT;;Демократическая Республика Конго;-1,45;19,01;309;Bosango/Mboliasa
FZCA;Киквит;Демократическая Республика Конго;-5,03;18,78;479;Kikwit
FZCB;;Демократическая Республика Конго;-5,00;19,60;701;Idiofa
FZCF;;Демократическая Республика Конго;-7,33;19,01;1043;Kahemba
FZCI;;Демократическая Республика Конго;-5,44;20,45;759;Banga
FZCK;;Демократическая Республика Конго;-7,61;18,54;1070;Kajiji
FZCN;;Демократическая Республика Конго;-4,13;17,57;483;Lunkuni
FZCP;;Демократическая Республика Конго;-5,69;16,58;480;Popokabaka
FZCS;Кенге;Демократическая Республика Конго;-4,91;17,06;563;Kenge
FZCV;;Демократическая Республика Конго;-4,78;17,85;594;Masi-Manimba
FZEA;Мбандака;Демократическая Республика Конго;0,02;18,28;319;Mbandaka
FZEN;Басанкусу;Демократическая Республика Конго;1,21;19,80;360;Basankusu
FZFA;Либенге;Демократическая Республика Конго;3,63;18,63;342;Libenge
FZFD;;Демократическая Республика Конго;4,25;20,96;459;Gbadolite
FZFE;;Демократическая Республика Конго;3,68;22,14;456;Abumumbazi
FZFF;;Демократическая Республика Конго;3,73;19,08;499;Bau
FZFH;;Демократическая Республика Конго;2,11;23,28;420;Mokaria/Yamoleka
FZFK;Гемена;Демократическая Республика Конго;3,26;19,76;420;Gemena
FZFN;;Демократическая Республика Конго;4,43;19,53;680;Lombo
FZFP;;Демократическая Республика Конго;4,16;21,75;548;Kotakoli
FZFQ;;Демократическая Республика Конго;4,11;19,21;364;Mpaka
FZFR;;Демократическая Республика Конго;-1,64;23,14;449;Mombongo
FZFU;Бумба;Демократическая Республика Конго;2,18;22,54;360;Bumba
FZFW;;Демократическая Республика Конго;2,46;20,10;449;Gwaka
FZGA;Лисала;Демократическая Республика Конго;2,16;21,48;462;Lisala
FZGB;;Демократическая Республика Конго;1,86;21,78;399;Bosondjo
FZGE;Бинга;Зимбабве;2,43;20,50;449;Binga
FZGF;;Демократическая Республика Конго;-0,68;22,33;370;Bokungu
FZGI;;Демократическая Республика Конго;2,28;22,85;434;Yalingimba
FZGN;Боэнде;Демократическая Республика Конго;-0,23;20,86;356;Boende
FZGV;;Демократическая Республика Конго;-1,20;23,28;391;Ikela
FZGX;;Демократическая Республика Конго;-1,60;20,64;391;Monkoto
FZIA;Кисангани;Демократическая Республика Конго;0,51;25,15;392;Kisangani
FZIC;Кисангани-Бангока;Демократическая Республика Конго;0,48;25,33;431;Kisangani-Bangoka
FZIF;Убунду;Демократическая Республика Конго;-0,35;25,45;423;Ubundu
FZJA;Исиро;Демократическая Республика Конго;2,78;27,63;764;Isiro
FZJF;;Демократическая Республика Конго;3,90;30,25;929;Aba
FZJH;;Демократическая Республика Конго;2,82;27,58;743;Isiro-Matari
FZJK;;Демократическая Республика Конго;3,73;29,70;819;Faradje
FZJN;;Демократическая Республика Конго;-8,19;24,73;1089;Luniemu
FZKA;Буниа;Демократическая Республика Конго;1,56;30,22;1244;Bunia
FZQJ;;Демократическая Республика Конго;-10,75;27,20;1129;Mwandingusha
FZQM;Колвези;Демократическая Республика Конго;-10,76;25,50;1499;Kolwezi
FZQN;;Демократическая Республика Конго;-10,56;24,39;1160;Mutshatsha
FZQP;;Демократическая Республика Конго;-10,66;23,16;1039;Kisenge
FZQU;;Демократическая Республика Конго;-9,93;26,00;1384;Lubudi
FZQV;Митваба;Демократическая Республика Конго;-8,64;27,35;1596;Mitwaba
FZQW;;Демократическая Республика Конго;-9,73;27,76;1699;Luishi
FZRA;Маноно;Демократическая Республика Конго;-7,28;27,39;633;Manono
FZRD;;Демократическая Республика Конго;-7,34;28,03;600;Kabombo
FZRE;;Демократическая Республика Конго;-7,75;27,20;1178;Bukena
FZRF;Калемие;Демократическая Республика Конго;-5,87;29,24;778;Kalemie
FZRJ;;Демократическая Республика Конго;-7,71;29,79;2000;Pepa
FZRK;;Демократическая Республика Конго;-7,31;29,16;1649;Kansimba
FZRL;;Демократическая Республика Конго;-8,93;27,18;1780;Lusinga
FZRM;;Демократическая Республика Конго;-6,08;26,91;561;Kabalo
FZRO;;Демократическая Республика Конго;-7,93;28,53;1310;Luvua
FZRQ;Конголо;Демократическая Республика Конго;-5,40;27,00;563;Kongolo
FZRS;;Демократическая Республика Конго;-7,53;28,70;1599;Mukoy
FZSA;Камина;Демократическая Республика Конго;-8,62;25,24;1079;Kamina / Base
FZSB;;Демократическая Республика Конго;-8,73;24,98;1120;Kamina/Ville
FZSD;Сандоа;Демократическая Республика Конго;-9,69;22,93;975;Sandoa
FZSI;Дилоло;Демократическая Республика Конго;-10,71;22,35;1029;Dilolo
FZSK;;Демократическая Республика Конго;-8,35;22,64;922;Kapanga
FZTK;;Демократическая Республика Конго;-7,58;24,14;844;Kaniama
FZTS;;Демократическая Республика Конго;-7,69;24,04;875;Kasese/Kaniama
FZUA;Кананга;Демократическая Республика Конго;-5,90;22,46;653;Kananga
FZUG;;Демократическая Республика Конго;-7,18;22,39;880;Luiza
FZUK;Чикапа;Демократическая Республика Конго;-6,43;20,79;485;Tshikapa
FZUN;;Демократическая Республика Конго;-5,34;21,33;499;Luebo
FZUO;;Демократическая Республика Конго;-5,50;21,43;569;Musese
FZUR;;Демократическая Республика Конго;-6,93;22,00;697;Tshibala
FZUS;;Демократическая Республика Конго;-5,96;22,41;697;Tshikaji
FZVA;Лоджа;Демократическая Республика Конго;-3,41;23,45;502;Lodja
FZVG;;Демократическая Республика Конго;-3,46;24,43;602;Katako-Kombe
FZVI;Лусамбо;Демократическая Республика Конго;-4,96;23,38;429;Lusambo
FZVJ;;Демократическая Республика Конго;-4,09;24,36;349;Tshumbe
FZVR;;Демократическая Республика Конго;-4,31;20,43;499;Basongo
FZVS;Илебо;Демократическая Республика Конго;-4,31;20,60;441;Ilebo
FZVT;;Демократическая Республика Конго;-3,46;21,43;390;Dekese
FZWA;Мбужи-Майи;Демократическая Республика Конго;-6,11;23,56;676;Mbuji-Mayi
FZWB;;Демократическая Республика Конго;-6,25;23,98;900;Bibanga
FZWC;;Демократическая Республика Конго;-6,73;23,95;797;Gandajika
FZWE;;Демократическая Республика Конго;-6,98;23,08;975;Mwenw-Ditu
FZWR;;Демократическая Республика Конго;-6,01;25,88;740;Kisengwa
FZWS;;Демократическая Республика Конго;-5,30;25,73;800;Lubao
FZWT;;Демократическая Республика Конго;-6,11;24,33;843;Kabinda/Tunta
GABG;Бугуни;Мали;11,41;352,50;351;Bougouni
GABS;Бамако / Сеноу;Мали;12,53;352,05;380;Bamako / Senou
GAGO;Гао;Мали;16,24;359,99;265;Gao
GAHB;Хомбори;Мали;15,33;358,31;288;Hombori
GAKA;Кениеба;Мали;12,85;348,76;132;Kenieba
GAKD;;Мали;14,48;348,59;51;Kayes Dag-Dag
GAKL;Кидал;Мали;18,43;1,35;459;Kidal
GAKO;Кутиала;Мали;12,38;354,53;367;Koutiala
GAKT;Кита;Мали;13,06;350,53;334;Kita
GAKY;Каес;Мали;14,43;348,56;47;Kayes
GAMB;Мопти;Мали;14,50;355,91;277;Mopti
GAMK;Менака;Мали;15,86;2,21;278;Menaka
GANR;Ниоро;Мали;15,23;350,41;237;Nioro Du Sahel
GASG;Сегу;Мали;13,40;353,85;289;Segou
GASK;Сикасо;Мали;11,35;354,31;375;Sikasso
GASN;Сан;Мали;13,33;355,16;284;San
GASO;;Мали;11,59;354,20;396;Sikasso/Dignangan
GATB;Томбукту;Мали;16,73;357,00;263;Tombouctou
GATS;Тесалит;Мали;20,24;0,98;491;Tessalit
GBYD;Банжул / Юндум;Гамбия;13,34;343,34;28;Banjul / Yundum
GCFV;Фуэртевентура;Канарские острова (Испания);28,45;346,13;26;Fuerteventura / Aeropuerto
GCGM;;Канарские острова (Испания);28,02;342,78;218;La Gomera
GCHI;Хьерро;Канарские острова (Испания);27,81;342,11;32;Hierro / Aeropuerto
GCLA;Ла-Пальма;Канарские острова (Испания);28,62;342,24;32;La Palma / Aeropuerto
GCLP;Лас-Пальмас;Канарские острова (Испания);27,93;344,61;23;Las Palmas De Gran Canaria / Gando
GCRR;Ланзароте;Канарские острова (Испания);28,94;346,39;14;Lanzarote / Aeropuerto
GCTS;Тенерифе-Сур;Канарские острова (Испания);28,04;343,42;63;Tenerife Sur
GCXO;Тенерифе / Лос-Родеос;Канарские острова (Испания);28,48;343,65;632;Tenerife / Los Rodeos
GEML;Мелилла;Испания;35,28;357,04;55;Melilla
GFBN;Бонте;Сьерра-Леоне;7,53;347,50;7;Bonthe
GFBO;;Сьерра-Леоне;7,94;348,23;99;Bo
GFKB;Кабала;Сьерра-Леоне;9,63;348,48;308;Kabala
GFKE;;Сьерра-Леоне;7,89;348,82;147;Kenema
GFLL;Фритаун;Сьерра-Леоне;8,61;346,80;25;Lungi
GFTO;;Сьерра-Леоне;8,21;348,94;228;Tongo
GFYE;;Сьерра-Леоне;8,61;348,95;396;Yengema
GGBF;Бафата;Гвинея-Бисау;12,16;345,33;43;Bafata
GGBO;Болама;Гвинея-Бисау;11,58;344,51;18;Bolama
GGOV;Бисау;Гвинея-Бисау;11,88;344,34;39;Bissau Aeroport
GLMR;;Либерия;6,28;349,23;7;Spriggs Payne
GLRB;Монровия-Робертс;Либерия;6,24;349,64;9;Monrovia Roberts
GMAA;Агадир;Марокко;30,38;350,43;23;Agadir
GMAD;Агадир-аль-Массира;Марокко;30,32;350,58;76;Agadir Al Massira
GMAG;;Марокко;29,01;349,93;341;Guelmime
GMAT;Тан-Тан;Марокко;28,44;348,83;199;Tan-Tan
GMAZ;;Марокко;30,26;354,14;736;Zagora
GMFB;;Марокко;32,51;358,02;1121;Bou Arfa
GMFF;Фес;Марокко;33,92;355,02;579;Fes-Sais
GMFI;Ифране;Марокко;33,49;354,83;1663;Ifrane
GMFK;Эр-Рашидия;Марокко;31,94;355,59;1044;Errachidia
GMFM;Мекнес;Марокко;33,88;354,46;549;Meknes
GMFN;Надор;Марокко;35,15;357,08;16;Nador
GMFO;Уджда;Марокко;34,78;358,07;467;Oujda
GMFZ;Таза;Марокко;34,21;356,00;510;Taza
GMMB;;Марокко;33,65;352,77;191;Benslimane
GMMC;Касабланка;Марокко;33,56;352,33;62;Casablanca
GMMD;Бени-Меллаль;Марокко;32,36;353,60;468;Beni-Mellal
GMME;Рабат;Марокко;34,04;353,25;84;Rabat-Sale
GMMF;Сиди-Ифни;Марокко;29,36;349,81;66;Sidi Ifni
GMMH;;Западная Сахара;23,71;344,06;10;Dakhla Intl
GMMI;Эс-Сувейра;Марокко;31,39;350,31;117;Essaouira
GMMJ;Эль-Джадида;Марокко;33,23;351,48;27;El Jadida
GMMK;Хурибга;Марокко;32,86;353,03;771;Khouribga
GMML;Хассан;Марокко;27,15;346,78;67;Hassan
GMMN;Ноуассур;Марокко;33,36;352,41;199;Nouasseur
GMMO;Тарудант;Марокко;30,50;351,18;264;Taroudant
GMMS;Сафи;Марокко;32,28;350,76;45;Safi
GMMW;Арви;Марокко;34,98;356,97;174;Arwi
GMMX;Марракеш;Марокко;31,60;351,95;470;Marrakech
GMMY;Кенитра;Марокко;34,30;353,39;14;Kenitra
GMMZ;Уарзазате;Марокко;30,93;353,09;1152;Ouarzazate
GMSL;Сиди-Слимане;Марокко;34,23;353,94;55;Sidi Slimane
GMTA;Эль-Хосейма;Марокко;35,18;356,16;29;Al Hoceima
GMTN;Тетуан / Саниа-Рамель;Марокко;35,59;354,68;3;Tetuan / Sania Ramel
GMTT;Танжер;Марокко;35,73;354,07;18;Tanger Aerodrome
GOGG;Зигиншор;Сенегал;12,55;343,72;22;Ziguinchor
GOGK;Колда;Сенегал;12,89;345,03;36;Kolda
GOGS;Кап-Скирринг;Сенегал;12,38;343,25;15;Cap-Skirring
GOOD;Диурбель;Сенегал;14,65;343,76;9;Diourbel
GOOG;Лингере;Сенегал;15,38;344,88;21;Linguere
GOOK;Каолак;Сенегал;14,14;343,94;7;Kaolack
GOOY;Дакар;Сенегал;14,74;342,52;25;Dakar / Yoff
GOSM;Матам;Сенегал;15,65;346,75;17;Matam
GOSP;Подор;Сенегал;16,65;345,03;7;Podor
GOSS;Сен-Луи;Сенегал;16,04;343,53;3;Saint-Louis
GOTB;;Сенегал;14,86;347,51;29;Bakel
GOTK;Кедугу;Сенегал;12,56;347,78;178;Kedougou
GOTT;Тамбакунда;Сенегал;13,73;346,34;49;Tambacounda
GQNA;Аюн-эль-Атрус;Мавритания;16,71;350,36;289;Aioun el Atrouss
GQNB;Боутилимит;Мавритания;17,53;345,31;75;Boutilimit
GQND;Тиджикжа;Мавритания;18,56;348,56;402;Tidjikja
GQNF;Киффа;Мавритания;16,59;348,60;130;Kiffa
GQNI;Нема;Мавритания;16,62;352,68;231;Nema
GQNJ;Акжужут;Мавритания;19,75;345,63;120;Akjoujt
GQNK;Каэди;Мавритания;16,14;346,48;23;Kaedi
GQNN;Нуакшот;Мавритания;18,09;344,05;1;Nouakchott
GQNR;Россо;Мавритания;16,50;344,18;6;Rosso
GQPA;Атар;Мавритания;20,50;346,95;231;Atar
GQPP;Нуадибу;Мавритания;20,92;342,96;2;Nouadhibou
GQPT;Бир-Могрейн;Мавритания;25,23;348,41;363;Bir Moghrein
GQPZ;Зуэрат;Мавритания;22,75;347,51;343;Zouerate
GSVO;Дахла;Западная Сахара;23,70;344,13;10;Villa Cisneros
GUCY;Конакри / Гбессия;Гвинея;9,57;346,38;21;Conakry / Gbessia
GUFA;;Гвинея;10,35;346,59;152;Katourou/Fria
GUFH;Фарана / Бадала;Гвинея;10,00;349,23;449;Faranah / Badala
GUID;Киндиа;Гвинея;10,05;347,13;459;Kindia
GUKU;Кисидугу;Гвинея;9,18;349,89;525;Kissidougou
GULB;Лабе;Гвинея;11,32;347,71;1035;Labe
GUMA;Масента;Гвинея;8,53;350,53;544;Macenta
GUNZ;Нзерекоре;Гвинея;7,73;351,16;470;N'zerekore
GUOK;Боке;Гвинея;10,93;345,68;69;Boke
GUSI;Сигири;Гвинея;11,43;350,83;366;Siguiri
GUXD;Канкан;Гвинея;10,38;350,70;384;Kankan
GVAC;Сал;Кабо-Верде;16,74;337,05;53;Sal
GVBA;;Кабо-Верде;16,13;337,11;20;Rabil
GVFM;;Кабо-Верде;14,92;336,50;70;Praia/Francisco Mendes
GVMA;;Кабо-Верде;15,15;336,78;11;Maio
GVNP;;Кабо-Верде;14,94;336,51;98;Praia Intl
GVSN;;Кабо-Верде;16,58;335,71;204;Preguica
GVSV;;Кабо-Верде;16,83;334,94;31;Sao Pedro
HAAB;Аддис-Абеба;Эфиопия;8,97;38,79;2333;Addis Ababa
HAAM;Арба-Мынч;Эфиопия;6,03;37,59;1186;Arba Minch
HAAX;;Эфиопия;14,13;38,77;2121;Axum
HABD;Бахр-Дар;Эфиопия;11,60;37,31;1821;Bahar Dar
HADC;Комболча;Эфиопия;11,11;39,73;1916;Combolcha
HADM;Дэбрэ-Маркос;Эфиопия;10,33;37,66;2440;Debremarcos
HADR;Дыре-Дауа;Эфиопия;9,63;41,84;1101;Dire Dawa
HAGM;;Эфиопия;8,13;34,56;498;Gambella
HAGN;Гондэр;Эфиопия;12,53;37,43;1993;Gondar
HAGO;Годэ;Эфиопия;5,93;43,57;254;Gode
HAGR;Горе;Эфиопия;8,15;35,53;1974;Gore
HAHM;Хара-Мэда;Эфиопия;8,73;38,95;1876;Harar Meda
HAJJ;Джиггига;Эфиопия;9,33;42,71;1644;Jiggiga
HAJM;Джимма;Эфиопия;7,67;36,82;1702;Jimma
HALA;Ауаса;Эфиопия;7,08;38,48;1652;Awassa
HALL;;Эфиопия;11,97;38,99;1957;Lalibella
HAMK;Мэкэле;Эфиопия;13,47;39,51;2256;Makale
HAMN;Менди;Папуа-Новая Гвинея;-6,16;143,66;;Mendi
HAMS;Массауа;Эритрея;15,61;39,45;10;Massawa
HANG;Нэгэле;Эфиопия;5,33;39,56;1455;Neghelle
HASB;Асэб;Эритрея;13,06;42,71;14;Assab
HBBA;Бужумбура;Бурунди;-3,32;29,31;786;Bujumbura
HCMA;Алула;Сомали;11,95;50,73;2;Alula
HCMD;Бардере;Сомали;2,35;42,30;116;Bardera
HCME;Эил;Сомали;7,95;49,78;;Eil
HCMF;Босасо;Сомали;11,28;49,18;2;Bosaso
HCMG;Кардо;Сомали;9,51;49,08;812;Gardo
HCMH;Харгейса;Сомали;9,48;44,08;1347;Hargeisa
HCMI;Бербера;Сомали;10,38;44,95;9;Berbera
HCMK;;Сомали;-0,34;42,46;14;Kisimayu
HCML;Эльбур;Сомали;4,70;46,61;175;El Bur
HCMM;Могадишо;Сомали;2,01;45,30;9;Mogadiscio
HCMN;Беледуэйне;Сомали;4,70;45,21;173;Belet Uen
HCMO;Хобью;Сомали;5,33;48,56;10;Obbia
HCMS;Чучиубан;Сомали;10,30;50,23;344;Scusciuban
HCMU;Эригабо;Сомали;10,63;47,36;1743;Erigavo
HCMV;Буръо;Сомали;9,51;45,56;1032;Burao
HDAM;Джибути-Амбоули;Джибути;11,54;43,15;14;Djibouti-Ambouli
HEAL;;Египет;30,92;28,46;43;Al Alamain Intl
HEAR;Эль-Ариш;Египет;31,07;33,83;36;El-Arish
HEAT;Асьют;Египет;27,04;31,01;235;Asyut
HEAX;Александрия/Ноужа;Египет;31,18;29,94;-1;Alexandria / Nouzha
HEAZ;;Египет;30,09;31,35;91;Almaza Afb/Mil
HEBA;Борг-Эль-Араб;Египет;30,91;29,69;53;Borg El Arab
HEBF;Бени-Суеф;Египет;29,20;31,01;33;Beni Suef
HEBL;Абу-Симбел;Египет;22,37;31,61;187;Abu Simbel
HECA;Каир;Египет;30,11;31,41;116;Cairo Airport
HEDK;;Египет;25,41;29,00;186;Dakhla
HEEM;Имбаба;Египет;30,06;31,18;19;Embaba
HEGN;Хургада;Египет;27,17;33,80;15;Hurghada
HEGO;;Египет;27,36;33,66;14;El-Gouna/Hurghada
HEGR;;Египет;31,07;34,14;98;El Gora
HEGS;Джиянклис-Нью;Египет;30,81;30,19;15;Jiyanklis New
HEKG;;Египет;25,47;30,59;58;El Kharga
HELX;Луксор;Египет;25,67;32,70;89;Luxor
HEMA;Марса-Алам;Египет;25,55;34,58;76;Marsa Alam
HEMM;Мерса-Матрух;Египет;31,32;27,22;28;Mersa Matruh
HENV;Харга;Египет;25,46;30,58;73;Kharga
HEOC;;Египет;29,81;30,82;245;Oktober/6th Of October City
HEOW;;Египет;22,58;28,71;261;Shark El Oweinat Intl
HEPS;Порт-Саид;Египет;31,27;32,24;2;Port Said
HESC;Ст.Катерине;Египет;28,68;34,06;1331;St. Catherine
HESH;Шарм-Эль-Шейх;Египет;27,97;34,39;43;Sharm El Sheikh
HESN;Ассуан;Египет;23,96;32,81;201;Asswan
HETB;Таба;Египет;29,58;34,77;748;Taba
HETR;Эль-Тор;Египет;28,21;33,63;35;El Tor
HFFF;Джибути;Джибути;11,55;43,15;13;Djibouti
HHAS;Асмэра;Эритрея;15,28;38,90;2335;Asmara
HHMS;;Эритрея;15,66;39,37;59;Massawa Intl
HHSB;;Эритрея;13,06;42,63;14;Assab
HKEL;Элдорет;Кения;0,40;35,23;2115;Eldoret
HKEM;Эмбу;Кения;-0,50;37,45;1493;Embu
